Set,Sample Number,Image Path,Moisture,Lux
1,1,Data_fpbicc/images/IMG_7148.jpeg,7.2,1247
1,2,Data_fpbicc/images/IMG_7149.jpeg,8.8,964
1,3,Data_fpbicc/images/IMG_7150.jpeg,8.1,618
1,4,Data_fpbicc/images/IMG_7151.jpeg,9.6,960
1,5,Data_fpbicc/images/IMG_7152.jpeg,6.9,1230
1,6,Data_fpbicc/images/IMG_7153.jpeg,9,370
1,7,Data_fpbicc/images/IMG_7154.jpeg,9.9,484
1,8,Data_fpbicc/images/IMG_7155.jpeg,9.6,622
1,9,Data_fpbicc/images/IMG_7156.jpeg,8.8,789
1,10,Data_fpbicc/images/IMG_7157.jpeg,10,1165
1,11,Data_fpbicc/images/IMG_7158.jpeg,8.9,963
1,12,Data_fpbicc/images/IMG_7159.jpeg,8,624
1,13,Data_fpbicc/images/IMG_7160.jpeg,9.2,789
1,14,Data_fpbicc/images/IMG_7161.jpeg,8.1,615
1,15,Data_fpbicc/images/IMG_7162.jpeg,9.4,623
1,16,Data_fpbicc/images/IMG_7163.jpeg,10,967
1,17,Data_fpbicc/images/IMG_7164.jpeg,4.9,615
1,18,Data_fpbicc/images/IMG_7165.jpeg,5.1,615
1,19,Data_fpbicc/images/IMG_7166.jpeg,8.9,270
1,20,Data_fpbicc/images/IMG_7167.jpeg,9.1,369
1,21,Data_fpbicc/images/IMG_7168.jpeg,7.9,623
2,22,Data_fpbicc/images/IMG_7171.jpeg,5.2,785
2,23,Data_fpbicc/images/IMG_7172.jpeg,8.3,790
2,24,Data_fpbicc/images/IMG_7173.jpeg,8.9,270
2,25,Data_fpbicc/images/IMG_7174.jpeg,5.9,184
2,26,Data_fpbicc/images/IMG_7175.jpeg,9.7,627
2,27,Data_fpbicc/images/IMG_7176.jpeg,7.2,621
2,28,Data_fpbicc/images/IMG_7177.jpeg,6.9,618
2,29,Data_fpbicc/images/IMG_7178.jpeg,8.1,626
2,30,Data_fpbicc/images/IMG_7179.jpeg,7.5,483
2,31,Data_fpbicc/images/IMG_7180.jpeg,9.7,492
2,32,Data_fpbicc/images/IMG_7181.jpeg,10,626
2,33,Data_fpbicc/images/IMG_7182.jpeg,8.2,624
2,34,Data_fpbicc/images/IMG_7183.jpeg,9,966
