Sample_No,Instance_No,Image_Path,Moisture,Lux,Fc,Date,Time,Lattitude,Longitude
S-01,i11-ds-1-1,Data_i11_ds/images_i11_ds/i11-ds-1-1.png,5.01,9537,838,31/12/2021,2:56 PM,-33.8411387,-33.8411387
S-01,i11-ds-1-2,Data_i11_ds/images_i11_ds/i11-ds-1-2.png,5.01,9537,838,31/12/2021,2:56 PM,-33.8411387,-33.8411387
S-02,i11-ds-2-1,Data_i11_ds/images_i11_ds/i11-ds-2-1.png,4.17,19717,1320,31/12/2021,3:13 PM,-33.8415584,150.9967537
S-03,i11-ds-3-1,Data_i11_ds/images_i11_ds/i11-ds-3-1.png,16.96,8817,1185,31/12/2021,3:30 PM,-33.8418013,150.9978101
S-03,i11-ds-3-2,Data_i11_ds/images_i11_ds/i11-ds-3-2.png,16.96,8817,1185,31/12/2021,3:30 PM,-33.8418013,150.9978101
S-03,i11-ds-3-3,Data_i11_ds/images_i11_ds/i11-ds-3-3.png,16.96,8817,1185,31/12/2021,3:30 PM,-33.8418013,150.9978101
S-03,i11-ds-3-4,Data_i11_ds/images_i11_ds/i11-ds-3-4.png,16.96,8817,1185,31/12/2021,3:30 PM,-33.8418013,150.9978101
S-03,i11-ds-3-5,Data_i11_ds/images_i11_ds/i11-ds-3-5.png,16.96,8817,1185,31/12/2021,3:30 PM,-33.8418013,150.9978101
S-04,i11-ds-4-1,Data_i11_ds/images_i11_ds/i11-ds-4-1.png,2.6,3255,439,31/12/2021,3:41 PM,-33.8416326,150.9984449
S-04,i11-ds-4-2,Data_i11_ds/images_i11_ds/i11-ds-4-2.png,2.6,3255,439,31/12/2021,3:41 PM,-33.8416326,150.9984449
S-04,i11-ds-4-3,Data_i11_ds/images_i11_ds/i11-ds-4-3.png,2.6,3255,439,31/12/2021,3:41 PM,-33.8416326,150.9984449
S-05,i11-ds-5-1,Data_i11_ds/images_i11_ds/i11-ds-5-1.png,18.8,5480,580,31/12/2021,4:01 PM,-33.8403443,150.9987583
S-05,i11-ds-5-2,Data_i11_ds/images_i11_ds/i11-ds-5-2.png,18.8,5480,580,31/12/2021,4:01 PM,-33.8403443,150.9987583
S-05,i11-ds-5-3,Data_i11_ds/images_i11_ds/i11-ds-5-3.png,18.8,5480,580,31/12/2021,4:01 PM,-33.8403443,150.9987583
S-05,i11-ds-5-4,Data_i11_ds/images_i11_ds/i11-ds-5-4.png,18.8,5480,580,31/12/2021,4:01 PM,-33.8403443,150.9987583
S-05,i11-ds-5-5,Data_i11_ds/images_i11_ds/i11-ds-5-5.png,18.8,5480,580,31/12/2021,4:01 PM,-33.8403443,150.9987583
